
 

********************* SEARCH ********************* 

speaker search time 0.03869938850402832

 The speakers in the  []  debates are: 
 ['#president']
         196981 function calls (193654 primitive calls) in 0.409 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 core.py:972(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:179(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:200(_concrete_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
        2    0.000    0.000    0.000    0.000 decorator.py:145(update)
        2    0.000    0.000    0.000    0.000 decorator.py:162(make)
        2    0.000    0.000    0.000    0.000 decorator.py:170(<listcomp>)
        2    0.000    0.000    0.001    0.000 decorator.py:197(create)
        4    0.000    0.000    0.000    0.000 decorator.py:215(<genexpr>)
        2    0.000    0.000    0.001    0.000 decorator.py:225(decorate)
        2    0.000    0.000    0.001    0.000 decorator.py:259(decorator)
        2    0.000    0.000    0.000    0.000 decorator.py:93(__init__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-118>:1(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-119>:1(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:99(skipif)
        1    0.000    0.000    0.009    0.009 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1810(chararray)
        1    0.000    0.000    0.010    0.010 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:74(matrix)
        1    0.000    0.000    0.001    0.001 einsumfunc.py:4(<module>)
       32    0.000    0.000    0.000    0.000 enum.py:284(__call__)
       32    0.000    0.000    0.000    0.000 enum.py:526(__new__)
      386    0.000    0.000    0.000    0.000 enum.py:628(value)
       13    0.000    0.000    0.000    0.000 enum.py:836(__and__)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1459(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1489(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1507(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:217(_fromnxfunction)
       10    0.000    0.000    0.000    0.000 extras.py:237(__init__)
       10    0.000    0.000    0.000    0.000 extras.py:241(getdoc)
        1    0.000    0.000    0.000    0.000 extras.py:272(_fromnxfunction_single)
        1    0.000    0.000    0.000    0.000 extras.py:290(_fromnxfunction_seq)
        1    0.000    0.000    0.000    0.000 extras.py:303(_fromnxfunction_args)
        1    0.000    0.000    0.000    0.000 extras.py:328(_fromnxfunction_allargs)
        1    0.000    0.000    0.004    0.004 financial.py:12(<module>)
        1    0.000    0.000    0.000    0.000 format.py:163(<module>)
        1    0.000    0.000    0.000    0.000 format.py:190(_check_version)
        1    0.000    0.000    0.000    0.000 format.py:220(read_magic)
        1    0.000    0.000    0.000    0.000 format.py:274(descr_to_dtype)
        1    0.000    0.000    0.005    0.005 format.py:512(_filter_header)
        1    0.000    0.000    0.005    0.005 format.py:553(_read_array_header)
        1    0.000    0.000    0.000    0.000 format.py:592(<listcomp>)
