

         446349 function calls (435979 primitive calls) in 5.421 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:214(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
        7    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:225(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
        1    0.000    0.000    0.003    0.003 __init__.py:23(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
        1    0.000    0.000    0.005    0.005 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:24(UnknownBackend)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:242(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:25(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.013    0.013 __init__.py:26(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:261(Error)
        2    0.000    0.000    0.008    0.004 __init__.py:27(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:277(NoSuchProcess)
        1    0.000    0.000    0.000    0.000 __init__.py:279(GobbleFilter)
        1    0.000    0.000    0.000    0.000 __init__.py:28(RTLD_for_MKL)
        1    0.000    0.000    0.000    0.000 __init__.py:286(Listener)
        1    0.000    0.000    0.000    0.000 __init__.py:29(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:295(ZombieProcess)
        2    0.000    0.000    0.001    0.000 __init__.py:299(loads)
        3    0.001    0.000    0.039    0.013 __init__.py:3(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:31(register_func)
       71    0.009    0.000    0.026    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:318(TokenMergeFilter)
        1    0.000    0.000    0.000    0.000 __init__.py:319(AccessDenied)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.006    0.006 __init__.py:32(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:320(_automodule)
        1    0.000    0.000    0.012    0.012 __init__.py:323(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:336(TimeoutExpired)
        1    0.000    0.000    0.156    0.156 __init__.py:34(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:34(_build_functions)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:35(UserMagics)
        1    0.000    0.000    0.000    0.000 __init__.py:358(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:360(AccessHandle)
        1    0.000    0.000    0.003    0.003 __init__.py:37(_load_formatters)
        6    0.000    0.000    0.000    0.000 __init__.py:384(_assert_pid_not_reused)
        1    0.000    0.000    0.000    0.000 __init__.py:387(PyDLL)
      410    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.052    0.052 __init__.py:39(<module>)
        1    0.000    0.000    0.012    0.012 __init__.py:39(_load_lexers)
        3    0.000    0.000    0.006    0.002 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:4(_PluginManager)
        1    0.000    0.000    0.000    0.000 __init__.py:409(PercentStyle)
        1    0.000    0.000    0.011    0.011 __init__.py:41(<module>)
        1    0.023    0.023    0.024    0.024 __init__.py:412(Process)
        1    0.000    0.000    0.000    0.000 __init__.py:415(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:424(Interpreter)
        1    0.000    0.000    0.000    0.000 __init__.py:424(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:427(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:428(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:43(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:433(StringTemplateStyle)
        2    0.000    0.000    0.040    0.020 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:457(Formatter)
        1    0.000    0.000    0.044    0.044 __init__.py:46(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:489(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:490(CFunctionType)
